id,gender,age,month_income
41ca0564-492c-464b-acc3-299985f418f2,Male,28,10813
9bd4934d-71c5-4bd4-8ae9-6b3793dd2922,Male,27,9237
e958858a-b225-4537-8805-b458a6f25366,Male,53,11242
eebd593b-e669-4ba9-be27-56441095637d,Male,23,23327
80a38b2a-d42b-47fc-96a7-0dc8edfad866,Male,33,8536
ef4bfd20-b9e0-4151-aecc-7dad9619ce22,Male,25,13984
ba0f3456-e11b-45ce-bd99-8d315cb5de6e,Male,23,23788
0cd4305a-86fb-402f-84d3-09d7a0d730e0,Male,19,19980
078e7f22-3350-4e04-ac05-004404a3c62b,Male,33,19271
c90125bc-48c7-439b-b86b-a745c2721a20,Male,57,5068
8a61d013-342b-419a-967e-0b7de0a339a7,Male,20,23602
28c8976f-5bb8-4da0-95fd-04777a16986d,Male,28,27338
570cb260-22e5-4145-a06f-3c2ceceba3fd,Male,63,6683
511b9aba-2f54-4ab1-a8fc-745d5a3b1a12,Male,25,6862
05fcf1a9-3eb7-4b00-92f7-1634263556ac,Male,53,4912
180bebd5-19aa-4064-b9b8-3e7dcb68b81c,Male,58,16997
aaa97696-2fa6-4f4c-9f81-24e71c683562,Male,29,17520
f4edeaff-39e6-4fd7-875f-dfcaf11c7aaa,Male,27,21650
bd85fb4e-e858-4f0d-bc22-39f02b40fd73,Male,38,26550
9a44669f-100c-483a-9887-71f3bee8e891,Male,25,21734
d070b95b-a51a-454a-88be-c4fa8fbf2b86,Male,31,4550
a13f02e1-87db-47d3-8017-2d71715b1929,Male,23,3268
efa6434b-6cd5-42a9-b183-70c8dd69af59,Male,40,5666
617e9789-774e-4546-9352-bc130ef063c6,Male,22,16759
c508d53e-47ab-4233-bff3-fdd57d64b719,Male,33,30608
55ecd8d8-f291-4ccf-9911-281353987b0b,Male,18,3896
00357e56-3b4e-462a-b88c-ed0b91ba787d,Male,34,14974
ddac11f9-d7c9-43b3-9c2a-4bebddfd0827,Male,21,11230
e2a8c9ff-507a-4604-b94e-10bb1bf63e04,Male,33,4521
