id,name,population,users
3a125f7e-c18b-4325-a446-c892488d6c48,NEW YORK NY,8405837,302149
a212a472-9c48-47e8-841d-47dff65f753b,CHICAGO IL,1955130,164468
f7b9ec3f-f70d-4ac4-a7a5-c14ac552aacd,LOS ANGELES CA,1595037,144132
73955b6c-1795-4330-81a5-9ec170c326a6,MIAMI FL,1339155,17675
976c700f-ecef-4500-9c47-a5bb2dc3b547,SILICON VALLEY,1177609,27247
1fa583b6-1498-4f7e-a2e8-20e8d84bfb6f,ORANGE COUNTY,1030185,12994
d5fce7a3-a114-4eb9-a628-3db33af6e0be,SAN DIEGO CA,959307,69995
636fca95-f162-4c00-bd70-43d189ad43e6,PHOENIX AZ,943999,6133
e7e6ede7-9c88-4115-80e4-e888b0a0ff7c,DALLAS TX,942908,22157
dbff87ea-3c12-43a5-929c-e33af1eaed92,ATLANTA GA,814885,24701
15731b04-76ed-4276-ba2e-834e3a040d38,DENVER CO,754233,12421
4a5336dc-fd7e-49ac-9d48-09f8326881f3,AUSTIN TX,698371,14978
b671b0bf-f4f9-4f95-84ee-3b5e60de4b0b,SEATTLE WA,671238,25063
96adf4cc-51f9-42cb-b64e-8e8165428c28,TUCSON AZ,631442,5712
6a5bf80b-9406-4098-b50c-0ff36555c74a,SAN FRANCISCO CA,629591,213609
27d92769-f4b6-47c7-a101-6b370f9e17a7,SACRAMENTO CA,545776,7044
4c86c560-e1bc-4820-8944-82e83587101b,PITTSBURGH PA,542085,3643
e3557cef-78af-42b4-a84e-2699e04b61a8,WASHINGTON DC,418859,127001
6bfa3e0c-fcce-4d76-bbbb-c2d3cb80bff4,NASHVILLE TN,327225,9270
aa2826a7-bfa0-4a28-bebe-4ce0fd8b2ed2,BOSTON MA,248968,80021
